Participant: ,, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:13:38.817,0,0,0
2024-03-13 19:13:38.820,0,0,0
2024-03-13 19:13:38.824,0,0,0
2024-03-13 19:13:38.826,0,0,0
2024-03-13 19:13:38.829,0,0,0
2024-03-13 19:13:38.832,0,0,0
2024-03-13 19:13:38.834,0,0,0
2024-03-13 19:13:38.838,0,0,0
2024-03-13 19:13:38.841,0,0,0
2024-03-13 19:13:38.844,0,0,0
2024-03-13 19:13:38.846,0,0,0
2024-03-13 19:13:38.848,0,0,0
2024-03-13 19:13:38.851,0,0,0
2024-03-13 19:13:38.854,0,0,0
2024-03-13 19:13:38.858,0,0,0
2024-03-13 19:13:38.860,0,0,0
2024-03-13 19:13:38.863,0,0,0
2024-03-13 19:13:38.866,0,0,0
2024-03-13 19:13:38.869,0,0,0
2024-03-13 19:13:38.872,0,0,0
2024-03-13 19:13:38.874,0,0,0
2024-03-13 19:13:38.877,0,0,0
2024-03-13 19:13:38.881,0,0,0
2024-03-13 19:13:38.884,0,0,0
2024-03-13 19:13:38.887,0,0,0
2024-03-13 19:13:38.890,0,0,0
2024-03-13 19:13:38.891,0,0,0
2024-03-13 19:13:38.895,0,0,0
2024-03-13 19:13:38.898,0,0,0
2024-03-13 19:13:38.901,0,0,0
2024-03-13 19:13:38.904,0,0,0
2024-03-13 19:13:38.906,0,0,0
2024-03-13 19:13:38.909,0,0,0
2024-03-13 19:13:38.911,0,0,0
2024-03-13 19:13:38.914,0,0,0
2024-03-13 19:13:38.917,0,0,0
2024-03-13 19:13:38.921,0,0,0
2024-03-13 19:13:38.923,0,0,0
2024-03-13 19:13:38.925,0,0,0
2024-03-13 19:13:38.929,0,0,0
2024-03-13 19:13:38.932,0,0,0
2024-03-13 19:13:38.934,0,0,0
2024-03-13 19:13:38.936,0,0,0
2024-03-13 19:13:38.939,0,0,0
2024-03-13 19:13:38.942,0,0,0
2024-03-13 19:13:38.944,0,0,0
2024-03-13 19:13:38.947,0,0,0
2024-03-13 19:13:38.951,0,0,0
2024-03-13 19:13:38.953,0,0,0
2024-03-13 19:13:38.956,0,0,0
2024-03-13 19:13:38.959,0,0,0
2024-03-13 19:13:38.961,0,0,0
2024-03-13 19:13:38.964,0,0,0
2024-03-13 19:13:38.967,0,0,0
2024-03-13 19:13:38.969,0,0,0
2024-03-13 19:13:38.971,0,0,0
2024-03-13 19:13:38.974,0,0,0
2024-03-13 19:13:38.977,0,0,0
2024-03-13 19:13:38.980,0,0,0
2024-03-13 19:13:38.983,0,0,0
2024-03-13 19:13:38.986,0,0,0
2024-03-13 19:13:38.988,0,0,0
2024-03-13 19:13:38.990,0,0,0
2024-03-13 19:13:38.993,0,0,0
2024-03-13 19:13:38.996,0,0,0
2024-03-13 19:13:38.999,0,0,0
2024-03-13 19:13:39.001,0,0,0
2024-03-13 19:13:39.004,0,0,0
2024-03-13 19:13:39.006,0,0,0
2024-03-13 19:13:39.009,0,0,0
2024-03-13 19:13:39.011,0,0,0
2024-03-13 19:13:39.014,0,0,0
2024-03-13 19:13:39.016,0,0,0
2024-03-13 19:13:39.019,0,0,0
2024-03-13 19:13:39.023,0,0,0
2024-03-13 19:13:39.026,0,0,0
2024-03-13 19:13:39.028,0,0,0
2024-03-13 19:13:39.031,0,0,0
2024-03-13 19:13:39.034,0,0,0
2024-03-13 19:13:39.035,0,0,0
2024-03-13 19:13:39.039,0,0,0
