Participant(Audio Folder): ,Participant02
Video Folder:,_Germany_
Audio Order
01,
02,
03,
04,
05,
06,
07,
08,
09,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
Time,Millisecond,VideoClip,AudioClip,Headrotation X,Headrotation Y,Headrotation Z
10:18:45,818,Not play video,Not play audio,-0.07781934,0.05564692,-0.01267236
10:18:45,831,Not play video,Not play audio,-0.07780253,0.05529251,-0.01256689
10:18:45,858,Not play video,Not play audio,-0.07824832,0.05521367,-0.01255747
10:18:45,873,Not play video,Not play audio,-0.07867403,0.05545843,-0.01234645
10:18:45,901,Not play video,Not play audio,-0.07865393,0.05675815,-0.01116136
10:18:45,915,Not play video,Not play audio,-0.07846893,0.05732949,-0.01061256
10:18:45,943,Not play video,Not play audio,-0.07771865,0.05838514,-0.008881681
10:18:45,957,Not play video,Not play audio,-0.07739876,0.05861354,-0.007865583
10:18:45,984,Not play video,Not play audio,-0.0770574,0.05859113,-0.006481007
10:18:45,999,Not play video,Not play audio,-0.07699519,0.05838758,-0.006469111
10:18:46,13,Not play video,Not play audio,-0.07713221,0.05807815,-0.006730828
10:18:46,40,Not play video,Not play audio,-0.07843534,0.05751843,-0.007648299
10:18:46,54,Not play video,Not play audio,-0.07952078,0.05741607,-0.007913249
10:18:46,81,Not play video,Not play audio,-0.08209287,0.05780529,-0.007638673
10:18:46,95,Not play video,Not play audio,-0.08319324,0.0580109,-0.007510202
10:18:46,124,Not play video,Not play audio,-0.08417232,0.05785429,-0.006978084
10:18:46,137,Not play video,Not play audio,-0.08434963,0.05741517,-0.00686852
10:18:46,165,Not play video,Not play audio,-0.08458477,0.05622807,-0.006472188
10:18:46,179,Not play video,Not play audio,-0.08482215,0.05530494,-0.006460556
10:18:46,193,Not play video,Not play audio,-0.08519197,0.05445751,-0.006735288
10:18:46,220,Not play video,Not play audio,-0.0856599,0.05306645,-0.008328538
10:18:46,234,Not play video,Not play audio,-0.08545549,0.05232698,-0.009105238
10:18:46,262,Not play video,Not play audio,-0.08534405,0.05117347,-0.01051287
10:18:46,276,Not play video,Not play audio,-0.08602102,0.05092426,-0.01107201
10:18:46,304,Not play video,Not play audio,-0.0885075,0.05101226,-0.01096458
10:18:46,318,Not play video,Not play audio,-0.0911549,0.05162447,-0.009207352
10:18:46,345,Not play video,Not play audio,-0.1014179,0.05281806,-0.002051458
10:18:46,359,Not play video,Not play audio,-0.104978,0.05361025,-0.0040595
10:18:46,373,Not play video,Not play audio,-0.1076078,0.05281889,-0.005231289
10:18:46,400,Not play video,Not play audio,-0.1058789,0.04998908,-0.007834346
10:18:46,415,Not play video,Not play audio,-0.104101,0.04862978,-0.008132561
10:18:46,443,Not play video,Not play audio,-0.09754201,0.0460548,-0.009244115
10:18:46,456,Not play video,Not play audio,-0.09444494,0.04525297,-0.01059778
10:18:46,484,Not play video,Not play audio,-0.0905413,0.04518534,-0.01248128
10:18:46,498,Not play video,Not play audio,-0.08982395,0.04581034,-0.01222156
10:18:46,512,Not play video,Not play audio,-0.08938953,0.04665086,-0.01211697
10:18:46,540,Not play video,Not play audio,-0.08851983,0.04852362,-0.01178491
10:18:46,553,Not play video,Not play audio,-0.08772264,0.04900829,-0.01201824
10:18:46,581,Not play video,Not play audio,-0.08528742,0.04939609,-0.01280822
10:18:46,595,Not play video,Not play audio,-0.08381317,0.04955459,-0.01325625
10:18:46,623,Not play video,Not play audio,-0.0814549,0.04967651,-0.01360902
10:18:46,637,Not play video,Not play audio,-0.08079603,0.04993976,-0.01349401
10:18:46,665,Not play video,Not play audio,-0.08045003,0.05067245,-0.01227534
10:18:46,679,Not play video,Not play audio,-0.08040651,0.05114327,-0.01153481
10:18:46,692,Not play video,Not play audio,-0.08027513,0.05144579,-0.01075933
10:18:46,721,Not play video,Not play audio,-0.0800614,0.05148394,-0.00927128
10:18:46,734,Not play video,Not play audio,-0.07984383,0.05125558,-0.008373546
10:18:46,762,Not play video,Not play audio,-0.07931055,0.05010394,-0.006964457
10:18:46,776,Not play video,Not play audio,-0.07876465,0.04945414,-0.006316217
10:18:46,803,Not play video,Not play audio,-0.0776868,0.04815777,-0.006524227
10:18:46,817,Not play video,Not play audio,-0.07761294,0.0475395,-0.006443277
10:18:46,831,Not play video,Not play audio,-0.0778123,0.04692797,-0.006494664
10:18:46,859,Not play video,Not play audio,-0.07775933,0.04545157,-0.006738148
10:18:46,873,Not play video,Not play audio,-0.07750032,0.04474631,-0.007107222
10:18:46,901,Not play video,Not play audio,-0.07670116,0.04320654,-0.006558038
10:18:46,915,Not play video,Not play audio,-0.07599329,0.04270669,-0.006444694
10:18:46,942,Not play video,Not play audio,-0.0738968,0.04289252,-0.006407483
10:18:46,956,Not play video,Not play audio,-0.07337458,0.04316884,-0.006163451
10:18:46,984,Not play video,Not play audio,-0.07274155,0.04392558,-0.005114421
10:18:46,997,Not play video,Not play audio,-0.07248811,0.04447376,-0.004312786
10:18:47,25,Not play video,Not play audio,-0.07224428,0.04565094,-0.002892358
10:18:47,39,Not play video,Not play audio,-0.07195036,0.04625361,-0.002460811
10:18:47,54,Not play video,Not play audio,-0.07159282,0.04688082,-0.002400784
10:18:47,81,Not play video,Not play audio,-0.07126679,0.04817213,-0.002513189
10:18:47,94,Not play video,Not play audio,-0.070985,0.04857822,-0.002502934
10:18:47,123,Not play video,Not play audio,-0.07059465,0.0489809,-0.002849604
10:18:47,137,Not play video,Not play audio,-0.070271,0.04911156,-0.003263843
