Participant: ,Default, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:32:04.358,0,0,0
2024-03-13 19:32:04.362,0,0,0
2024-03-13 19:32:04.364,0,0,0
2024-03-13 19:32:04.367,0,0,0
2024-03-13 19:32:04.369,0,0,0
2024-03-13 19:32:04.372,0,0,0
2024-03-13 19:32:04.375,0,0,0
2024-03-13 19:32:04.376,0,0,0
2024-03-13 19:32:04.380,0,0,0
2024-03-13 19:32:04.383,0,0,0
2024-03-13 19:32:04.385,0,0,0
2024-03-13 19:32:04.389,0,0,0
2024-03-13 19:32:04.392,0,0,0
2024-03-13 19:32:04.395,0,0,0
2024-03-13 19:32:04.398,0,0,0
2024-03-13 19:32:04.400,0,0,0
2024-03-13 19:32:04.404,0,0,0
2024-03-13 19:32:04.406,0,0,0
2024-03-13 19:32:04.409,0,0,0
2024-03-13 19:32:04.412,0,0,0
2024-03-13 19:32:04.414,0,0,0
2024-03-13 19:32:04.421,0,0,0
2024-03-13 19:32:04.428,0,0,0
2024-03-13 19:32:04.430,0,0,0
2024-03-13 19:32:04.433,0,0,0
2024-03-13 19:32:04.438,0,0,0
2024-03-13 19:32:04.440,0,0,0
2024-03-13 19:32:04.442,0,0,0
2024-03-13 19:32:04.444,0,0,0
2024-03-13 19:32:04.448,0,0,0
2024-03-13 19:32:04.450,0,0,0
2024-03-13 19:32:04.453,0,0,0
2024-03-13 19:32:04.455,0,0,0
2024-03-13 19:32:04.458,0,0,0
2024-03-13 19:32:04.461,0,0,0
2024-03-13 19:32:04.465,0,0,0
2024-03-13 19:32:04.469,0,0,0
2024-03-13 19:32:04.471,0,0,0
2024-03-13 19:32:04.474,0,0,0
2024-03-13 19:32:04.477,0,0,0
2024-03-13 19:32:04.480,0,0,0
2024-03-13 19:32:04.482,0,0,0
2024-03-13 19:32:04.485,0,0,0
2024-03-13 19:32:04.487,0,0,0
2024-03-13 19:32:04.490,0,0,0
2024-03-13 19:32:04.493,0,0,0
2024-03-13 19:32:04.495,0,0,0
2024-03-13 19:32:04.497,0,0,0
2024-03-13 19:32:04.501,0,0,0
2024-03-13 19:32:04.504,0,0,0
2024-03-13 19:32:04.506,0,0,0
2024-03-13 19:32:04.509,0,0,0
2024-03-13 19:32:04.512,0,0,0
2024-03-13 19:32:04.514,0,0,0
2024-03-13 19:32:04.517,0,0,0
2024-03-13 19:32:04.521,0,0,0
2024-03-13 19:32:04.524,0,0,0
2024-03-13 19:32:04.526,0,0,0
2024-03-13 19:32:04.528,0,0,0
2024-03-13 19:32:04.532,0,0,0
